sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLE,Random Forest,volatility,1.0,average_precision,30,0.4534410905413171,0.4090301796352584,0.0148004189271182,0.4037339177414111,0.4143264415291057,0.0444109109060586,0.0148004189271182,0.0391146490122113,0.0497071727999059
XLE,Logistic Regression,all_predictors,0.2,balanced_accuracy,30,0.6536102508046395,0.6564983502358254,0.0069194195843456,0.6540222677375818,0.658974432734069,-0.0028880994311856,0.0069194195843456,-0.0053641819294292,-0.0004120169329421
XLE,Logistic Regression,all_predictors,0.2,f1_score,30,0.482233502538071,0.4859356866197547,0.0086970615438904,0.4828234831159097,0.4890478901235997,-0.0037021840816837,0.0086970615438904,-0.0068143875855287,-0.0005899805778386
XLE,Logistic Regression,all_predictors,0.2,roc_auc,30,0.7425669520859902,0.7322545090180361,0.0042073203464381,0.7307489387679116,0.7337600792681607,0.0103124430679541,0.0042073203464381,0.0088068728178296,0.0118180133180786
XLE,Logistic Regression,all_predictors,0.2,average_precision,30,0.466840404729364,0.4590269431230354,0.0040254599595869,0.4575864507765583,0.4604674354695124,0.0078134616063286,0.0040254599595869,0.0063729692598516,0.0092539539528057
XLE,Random Forest,all_predictors,0.2,balanced_accuracy,30,0.6200582984150118,0.6264502742859456,0.0094958962926166,0.6230522114385243,0.6298483371333669,-0.0063919758709338,0.0094958962926166,-0.009790038718355,-0.0029939130235125
XLE,Random Forest,all_predictors,0.2,f1_score,30,0.4322766570605187,0.4406332812698185,0.0140781572126433,0.4355954774111522,0.4456710851284848,-0.0083566242092998,0.0140781572126433,-0.0133944280679661,-0.0033188203506335
XLE,Random Forest,all_predictors,0.2,roc_auc,30,0.7141100382583349,0.713331207870286,0.0064480450381663,0.7110238045870669,0.7156386111535051,0.0007788303880488,0.0064480450381663,-0.0015285728951703,0.0030862336712679
XLE,Random Forest,all_predictors,0.2,average_precision,30,0.4534410905413171,0.4573227422494197,0.0077190249980504,0.4545605246286791,0.4600849598701603,-0.0038816517081026,0.0077190249980504,-0.0066438693288432,-0.001119434087362
XLE,Logistic Regression,all_predictors,0.5,balanced_accuracy,30,0.6536102508046395,0.6381530738244164,0.0095063442590664,0.6347512722202175,0.6415548754286153,0.015457176980223,0.0095063442590664,0.012055375376024,0.0188589785844219
XLE,Logistic Regression,all_predictors,0.5,f1_score,30,0.482233502538071,0.4645626137643073,0.0115202629946908,0.460440140596059,0.4686850869325557,0.0176708887737637,0.0115202629946908,0.0135484156055153,0.021793361942012
XLE,Logistic Regression,all_predictors,0.5,roc_auc,30,0.7425669520859902,0.695580352624441,0.0092339826114566,0.6922760143841296,0.6988846908647524,0.0469865994615494,0.0092339826114566,0.0436822612212379,0.0502909377018608
XLE,Logistic Regression,all_predictors,0.5,average_precision,30,0.466840404729364,0.4303348715611685,0.0091371521315773,0.4270651836630719,0.4336045594592651,0.0365055331681954,0.0091371521315773,0.0332358452700988,0.039775221066292
XLE,Random Forest,all_predictors,0.5,balanced_accuracy,30,0.6200582984150118,0.6238020485415274,0.0092972309397396,0.6204750771776143,0.6271290199054406,-0.0037437501265156,0.0092972309397396,-0.0070707214904288,-0.0004167787626025
XLE,Random Forest,all_predictors,0.5,f1_score,30,0.4322766570605187,0.4384393853534228,0.0133327981973979,0.4336683047928685,0.4432104659139771,-0.0061627282929041,0.0133327981973979,-0.0109338088534584,-0.0013916477323498
XLE,Random Forest,all_predictors,0.5,roc_auc,30,0.7141100382583349,0.6874472176676586,0.0105290250165181,0.6836794544544043,0.6912149808809129,0.0266628205906763,0.0105290250165181,0.0228950573774219,0.0304305838039306
XLE,Random Forest,all_predictors,0.5,average_precision,30,0.4534410905413171,0.4366290437362307,0.0104536964491223,0.4328882365046267,0.4403698509678347,0.0168120468050863,0.0104536964491223,0.0130712395734823,0.0205528540366903
XLE,Logistic Regression,all_predictors,1.0,balanced_accuracy,30,0.6536102508046395,0.6007664824598692,0.0139488551168753,0.5957749487619317,0.6057580161578067,0.0528437683447702,0.0139488551168753,0.0478522346468327,0.0578353020427078
XLE,Logistic Regression,all_predictors,1.0,f1_score,30,0.482233502538071,0.4265134481864274,0.0150980902837342,0.4211106659656422,0.4319162304072126,0.0557200543516436,0.0150980902837342,0.0503172721308584,0.0611228365724288
XLE,Logistic Regression,all_predictors,1.0,roc_auc,30,0.7425669520859902,0.6396667071516771,0.0137223501560332,0.6347562272130137,0.6445771870903404,0.1029002449343131,0.0137223501560332,0.0979897649956497,0.1078107248729764
XLE,Logistic Regression,all_predictors,1.0,average_precision,30,0.466840404729364,0.3797360992928905,0.0123374945069551,0.3753211835837809,0.3841510150020001,0.0871043054364735,0.0123374945069551,0.0826893897273639,0.091519221145583
XLE,Random Forest,all_predictors,1.0,balanced_accuracy,30,0.6200582984150118,0.5982536790753223,0.0107181613231283,0.5944182343039732,0.6020891238466715,0.0218046193396894,0.0107181613231283,0.0179691745683403,0.0256400641110385
XLE,Random Forest,all_predictors,1.0,f1_score,30,0.4322766570605187,0.4120728706150787,0.013640441792136,0.4071917012080045,0.4169540400221529,0.02020378644544,0.013640441792136,0.0153226170383658,0.0250849558525142
XLE,Random Forest,all_predictors,1.0,roc_auc,30,0.7141100382583349,0.6382413311471429,0.0139891034373321,0.6332353947727016,0.6432472675215841,0.075868707111192,0.0139891034373321,0.0708627707367508,0.0808746434856333
XLE,Random Forest,all_predictors,1.0,average_precision,30,0.4534410905413171,0.3861806600117532,0.0151823283240791,0.3807477335953687,0.3916135864281377,0.0672604305295638,0.0151823283240791,0.0618275041131793,0.0726933569459484
